number,value,datetime_start,datetime_complete,duration,params_conf,params_match_thresh,params_min-box-area,params_nms,params_track_buffer,params_track_thresh,state
0,0.5143981398676445,2025-01-27 12:50:11.060197,2025-01-27 12:52:31.109617,0 days 00:02:20.049420,0.1801429023521206,0.6753956800105062,100,0.17062599727552935,300,0.7700083765905057,COMPLETE
1,0.5143981398676445,2025-01-27 12:52:31.110215,2025-01-27 12:54:55.193093,0 days 00:02:24.082878,0.16681129311868848,0.22687440236742004,100,0.23870829414207873,600,0.3160283062805793,COMPLETE
2,0.5143981398676445,2025-01-27 12:54:55.193740,2025-01-27 12:57:17.478948,0 days 00:02:22.285208,0.6689280273110111,0.20060055310634928,100,0.2327002191310321,120,0.14924250101877468,COMPLETE
3,0.5143981398676445,2025-01-27 12:57:17.479613,2025-01-27 12:59:37.910943,0 days 00:02:20.431330,0.6873450058319884,0.8072009313964194,10,0.810304766354582,30,0.6781000977093123,COMPLETE
4,0.5143981398676445,2025-01-27 12:59:37.911599,2025-01-27 13:01:57.695853,0 days 00:02:19.784254,0.8713004661922901,0.28301474702401597,10,0.2532813583223975,120,0.4953810841215148,COMPLETE
5,0.5143981398676445,2025-01-27 13:01:57.696543,2025-01-27 13:04:18.535786,0 days 00:02:20.839243,0.5599222772685956,0.40740288756495635,10,0.17387670943302264,600,0.35702151500337675,COMPLETE
6,0.5143981398676445,2025-01-27 13:04:18.536469,2025-01-27 13:06:38.712981,0 days 00:02:20.176512,0.5757330022947346,0.6624759207627753,10,0.6557828918153321,120,0.6266312743032214,COMPLETE
7,0.5143981398676445,2025-01-27 13:06:38.713651,2025-01-27 13:08:57.942109,0 days 00:02:19.228458,0.8732651381216152,0.4471745169530511,150,0.8489421374850623,600,0.4070614029651548,COMPLETE
8,0.5143981398676445,2025-01-27 13:08:57.942767,2025-01-27 13:11:18.505818,0 days 00:02:20.563051,0.5784788405260047,0.5735613586934022,10,0.3033431504279609,600,0.12024472732316119,COMPLETE
9,0.5143981398676445,2025-01-27 13:11:18.506494,2025-01-27 13:13:39.135984,0 days 00:02:20.629490,0.27723938347919885,0.7094177049494571,150,0.6215148434054412,120,0.2653400733122757,COMPLETE
10,0.5143981398676445,2025-01-27 13:13:39.136671,2025-01-27 13:15:57.953463,0 days 00:02:18.816792,0.35670965621883666,0.8986542715761727,100,0.43404338790835045,300,0.8446072569569806,COMPLETE
11,0.5143981398676445,2025-01-27 13:15:57.954165,2025-01-27 13:18:15.739574,0 days 00:02:17.785409,0.10390320813343606,0.10209345421966176,100,0.11943243189425701,60,0.8804492016396477,COMPLETE
12,0.5143981398676445,2025-01-27 13:18:15.740197,2025-01-27 13:20:36.241049,0 days 00:02:20.500852,0.13011676299056374,0.5643956931699667,100,0.38144919371133446,300,0.67445890078132,COMPLETE
13,0.5143981398676445,2025-01-27 13:20:36.241732,2025-01-27 13:22:57.905407,0 days 00:02:21.663675,0.2762110573158855,0.27282587388873114,100,0.10613203460226758,300,0.5470603587455043,COMPLETE
